"mean","max","min","ninety_pct","sd","mean_route","min_route","max_route","ninety_pct_route","sd_route","zone"
1367.28172888154,14927.85645,2.021804094,2112.1595949,1039.7048288986,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1308.57163799706,6399.286621,89.26049042,1954.3302121,654.965670310015,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1311.12362913079,5615.041504,27.1700573,1948.556738,697.557647550081,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1283.88407809928,7238.616699,2.367318869,1877.1024781,750.331235024253,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1322.12928721635,7238.616699,32.0443573,1936.2791017,803.326634325294,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1303.12752458216,7497.791016,2.367318869,1909.8084107,742.814665749441,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1323.90541307599,7064.84082,27.1700573,1936.6582276,778.553535870937,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1320.94934519028,7134.962402,130.8849945,1997.8682982,737.235683806502,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1323.6129315306,14927.85645,0.348439664,1915.14043,957.434317827281,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1317.99758494986,7497.791016,8.436494827,1937.573767,769.763849619302,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1289.14151701952,5056.158691,20.77679062,1919.8556026,670.356876787095,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1280.9550920583,7064.84082,0.348439664,1843.7073611,707.177510138879,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1316.92647323875,6977.071777,0.884073853,1956.0653076,814.335148633798,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1336.81828608566,7497.791016,2.021804094,2011.1493289,822.029698884551,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1353.51053605711,14927.85645,0.884073853,1814.5389402,1025.06074572077,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1296.15869714351,6983.091797,8.436494827,1860.5821904,670.314529024358,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1323.24810165893,7238.616699,65.8967514,1936.2791017,756.006754673922,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1296.99402038482,7197.00293,77.81362915,1914.3276614,696.95067789867,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
1311.81197753702,6983.091797,0.348439664,1963.2558595,750.376532388378,1346.23760327341,0.348439664,15151.03906,1905.4442991,797.971676069641,"zone1"
