OID_,Value
420,674.7304688
421,831.5493774
422,395.3087463
423,668.119751
424,673.1503296
425,741.2329102
426,630.8034668
427,617.7911377
428,569.4902954
429,648.1141968
430,706.8125
431,831.5791016
432,993.6598511
433,825.7560425
434,700.8422852
435,1024.735962
436,1019.430481
437,1063.77478
438,1127.077881
439,1361.246216
440,1356.344116
441,1473.359009
442,1541.234985
443,1239.014648
444,1199.874023
445,1054.453247
446,976.3272095
447,973.9971313
448,1214.224365
449,958.4910889
450,936.4039307
451,1165.759277
452,872.7279053
453,779.6434937
454,755.4987183
455,796.7980957
456,712.2791748
457,939.3740845
458,915.6152344
459,918.859436
460,909.1403198
461,602.074707
462,703.8876953
463,691.4022827
464,728.2880249
465,589.8571777
466,589.574707
467,624.2776489
468,524.9249268
469,845.3634644
470,1036.113159
471,1008.484863
472,655.4074707
473,803.5285034
474,998.8198242
475,1209.205444
476,1097.616333
477,1059.973389
478,1434.301147
479,1251.923462
480,1583.798462
481,1455.662354
482,1299.051636
483,1205.533081
484,1183.021606
485,919.0239258
486,1162.04895
487,1172.173584
488,1111.328125
489,1255.221313
490,977.0827026
491,987.8243408
492,855.2539673
493,735.1535645
494,786.7669678
495,788.9307251
496,677.6009521
497,871.6627197
498,1026.12915
499,869.21698
500,923.081665
501,846.0789185
502,404.4621887
503,647.586792
504,567.6905518
505,712.3774414
506,707.3225708
507,648.923584
508,640.4688721
509,614.3508301
510,639.5871582
511,895.5076904
512,1066.255981
513,922.1963501
514,744.2982788
515,904.2495728
516,1152.893433
517,1118.608154
518,1745.081665
519,1434.991699
520,1206.346436
521,1233.465454
522,1134.023438
523,1054.195801
524,918.5651245
525,1027.126343
526,1399.364014
527,1300.948853
528,1342.971436
529,861.9390869
530,857.0958862
531,748.7606812
532,691.2161865
533,713.0109253
534,593.6304932
535,975.3738403
536,1014.836304
537,1043.491699
538,867.4708862
539,845.3309937
540,753.2047119
541,838.2736816
542,814.7727051
543,277.4637451
544,436.0805359
545,510.2401123
546,645.1615601
547,778.6464233
548,695.6536255
549,653.7554321
550,511.5435486
551,652.7727661
552,785.4840698
553,672.7780151
554,1078.709106
555,980.4544067
556,1067.320313
557,1503.153687
558,1420.145508
559,1039.580322
560,1501.96228
561,938.1712036
562,1165.466797
563,1384.061523
564,1401.310181
565,1404.818726
566,1025.715454
567,873.6641846
568,755.071167
569,675.8314819
570,633.2698975
571,518.1875
572,890.3042603
573,964.7612915
574,1265.188843
575,1020.798157
576,776.3345947
577,740.829895
578,763.5565796
579,763.5831299
580,937.8617554
581,729.2736206
582,110.515831
583,283.6491394
584,400.3657532
585,554.8157349
586,691.578064
587,725.7757568
588,748.5369263
589,541.5634155
590,613.2761841
591,610.7903442
592,791.4966431
593,694.8193359
594,1534.197876
595,1243.807251
596,1451.596924
597,1537.505859
598,1423.018066
599,1268.149048
600,1158.970459
601,1111.781982
602,854.0667114
603,641.1641235
604,601.977478
