OID_,Value,SrcID_Feat,SrcID_Rast
266,2085.287109375000000,0,0
267,2202.353027343750000,0,0
268,1991.674316406250000,0,0
269,1286.281005859375000,0,0
270,1693.545532226562500,0,0
271,2085.742431640625000,0,0
272,1488.344604492187500,-2147483648,0
273,1134.869750976562500,0,0
274,4195.274414062500000,0,0
275,2461.645507812500000,0,0
276,1280.660766601562500,0,0
277,1129.654296875000000,0,0
278,968.691894531250000,-2147483648,0
279,884.276916503906250,0,0
280,666.918273925781250,0,0
281,656.076049804687500,0,0
282,394.728454589843750,0,0
283,808.020385742187500,-2147483648,0
284,1065.161865234375000,0,0
285,1199.674804687500000,0,0
286,1260.954223632812500,0,0
287,1311.751831054687500,0,0
288,296.582519531250000,-2147483648,0
289,111.575157165527344,0,0
290,2630.728515625000000,0,0
291,913.020874023437500,0,0
292,1477.770385742187500,0,0
293,2068.119628906250000,0,0
294,2284.905029296875000,0,0
295,1417.427734375000000,0,0
296,1343.446655273437500,0,0
297,1988.269042968750000,0,0
298,2196.205322265625000,0,0
299,2185.722412109375000,-2147483648,0
300,2531.604980468750000,0,0
301,4611.526367187500000,0,0
302,1956.509277343750000,0,0
303,1387.603637695312500,0,0
304,1155.072387695312500,0,0
305,1008.375610351562500,-2147483648,0
306,503.299713134765625,0,0
307,718.148071289062500,0,0
308,397.540954589843750,0,0
309,544.540344238281250,0,0
310,673.640319824218750,-2147483648,0
311,1096.884155273437500,0,0
312,1171.151733398437500,0,0
313,1466.841186523437500,0,0
314,3125.719970703125000,0,0
315,226.279113769531250,-2147483648,0
316,1636.699951171875000,0,0
317,1308.489746093750000,0,0
318,2003.613891601562500,0,0
319,1851.898437500000000,0,0
320,1768.629150390625000,0,0
321,1193.606689453125000,0,0
322,2287.569824218750000,0,0
323,2638.345947265625000,0,0
324,3142.723144531250000,-2147483648,0
325,3738.195556640625000,0,0
326,2530.703857421875000,0,0
327,1324.623535156250000,0,0
328,1048.280639648437500,0,0
329,851.580261230468750,0,0
330,691.324340820312500,-2147483648,0
331,858.600952148437500,0,0
332,830.604187011718750,0,0
333,562.100463867187500,0,0
334,512.826538085937500,0,0
335,343.691955566406250,-2147483648,0
336,1169.851684570312500,0,0
337,318.888275146484375,0,0
338,4854.022949218750000,0,0
339,346.395111083984375,0,0
340,6065.388671875000000,0,0
341,341.261932373046875,0,0
342,1442.890747070312500,0,0
343,1780.292236328125000,0,0
344,1777.512695312500000,0,0
345,1417.084960937500000,0,0
346,4708.450683593750000,0,0
347,7887.335449218750000,0,0
348,7367.948730468750000,0,0
349,5781.581054687500000,-2147483648,0
350,2550.098388671875000,0,0
351,1232.711791992187500,0,0
352,977.213073730468750,0,0
353,858.895446777343750,0,0
354,651.580261230468750,0,0
355,934.425842285156250,-2147483648,0
356,984.028930664062500,0,0
357,1008.561035156250000,0,0
358,800.576293945312500,0,0
359,768.212463378906250,0,0
360,519.404113769531250,-2147483648,0
361,228.715850830078125,0,0
362,5610.505371093750000,0,0
363,7405.286621093750000,0,0
364,7010.043457031250000,0,0
365,6439.608886718750000,0,0
366,61.408840179443359,0,0
367,329.671539306640625,0,0
368,244.802734375000000,-2147483648,0
369,1907.612792968750000,0,0
370,3878.543945312500000,0,0
371,7088.968750000000000,0,0
372,1483.403930664062500,0,0
373,2330.843261718750000,0,0
374,1524.436889648437500,-2147483648,0
375,1208.487915039062500,0,0
376,1030.752685546875000,0,0
377,1039.687866210937500,0,0
378,1057.567138671875000,0,0
379,1316.649536132812500,0,0
380,1512.111938476562500,-2147483648,0
381,986.315368652343750,0,0
382,929.912658691406250,0,0
383,2115.194824218750000,0,0
384,4551.386230468750000,0,0
385,590.728088378906250,-2147483648,0
386,45.757713317871094,0,0
387,11056.435546875000000,0,0
388,16.538494110107422,0,0
389,12.364046096801758,0,0
390,22.860513687133789,0,0
391,30.965829849243164,0,0
392,45.479038238525391,-2147483648,0
393,3716.591552734375000,0,0
394,3134.066894531250000,0,0
395,2312.483398437500000,0,0
396,1476.360473632812500,0,0
397,1691.013549804687500,-2147483648,0
398,1626.954589843750000,0,0
399,1267.283935546875000,0,0
400,1238.736938476562500,0,0
401,1414.073486328125000,0,0
402,1443.373779296875000,0,0
403,1198.043945312500000,-2147483648,0
404,1101.121948242187500,0,0
405,2173.240478515625000,0,0
406,2915.623535156250000,0,0
407,2346.430664062500000,0,0
408,8678.374023437500000,-2147483648,0
409,11016.420898437500000,0,0
410,94.362312316894531,0,0
411,1386.721801757812500,0,0
412,1117.618896484375000,0,0
413,1965.373657226562500,-2147483648,0
414,2014.345947265625000,0,0
415,1418.139404296875000,0,0
416,1544.290771484375000,0,0
417,1796.798217773437500,0,0
418,1099.084838867187500,0,0
419,1286.757446289062500,-2147483648,0
420,2024.877319335937500,0,0
421,2858.798339843750000,0,0
422,2490.695068359375000,0,0
423,2628.118164062500000,0,0
424,2200.212646484375000,-2147483648,0
425,1592.549926757812500,0,0
426,484.225860595703125,0,0
427,1921.485473632812500,0,0
428,2277.463867187500000,-2147483648,0
429,1542.522949218750000,0,0
430,1353.665283203125000,0,0
431,2374.983154296875000,0,0
432,1244.809204101562500,0,0
433,1115.730712890625000,-2147483648,0
434,2142.767578125000000,0,0
435,2296.359130859375000,0,0
436,2147.231201171875000,0,0
437,1703.962890625000000,-2147483648,0
438,926.515380859375000,0,0
439,1662.142211914062500,-2147483648,0
440,1791.705078125000000,0,0
441,2615.279541015625000,0,0
442,2456.435302734375000,0,0
443,1526.271362304687500,-2147483648,0
444,1621.915161132812500,0,0
445,2068.246582031250000,0,0
446,1874.098388671875000,0,0
447,676.226867675781250,0,0
448,3119.124023437500000,0,0
449,2353.477539062500000,0,0
450,1792.099609375000000,0,0
451,1679.612060546875000,0,0
452,1435.790283203125000,0,0
453,1158.778198242187500,0,0
454,2686.688964843750000,0,0
455,1497.777587890625000,0,0
456,1261.079345703125000,0,0
457,1666.708496093750000,0,0
458,1559.788574218750000,0,0
459,1681.627075195312500,0,0
460,1447.981445312500000,-2147483648,0
461,202.096420288085938,-2147483648,0
462,1146.520263671875000,-2147483648,0
463,1314.988281250000000,0,0
464,1796.073852539062500,0,0
465,1437.211425781250000,0,0
466,1236.770385742187500,0,0
467,618.141723632812500,0,0
468,114.766845703125000,0,0
