OID_,Value
211,1465.128174
212,1770.536621
213,1878.075317
214,1141.615479
215,1027.344482
216,1927.38916
217,1293.335083
218,1269.80249
219,969.3529053
220,1344.368286
221,1089.982178
222,1101.778442
223,1193.996826
224,1407.339722
225,1602.015869
226,1765.679321
227,1695.006226
228,2903.912354
229,1323.628052
230,1127.958618
231,1347.886963
232,1346.74292
233,1229.114258
234,903.4868164
235,1362.91626
236,1153.040649
237,1211.068481
238,1156.161377
239,1216.694458
240,1595.535156
241,1451.290405
242,1606.893066
243,1685.671997
244,1398.378174
245,1451.483032
246,1430.093994
247,1358.304321
248,1304.559814
249,1379.313477
250,1465.884644
251,776.8633423
252,1322.637207
253,1602.666382
254,1317.25769
255,971.4841309
256,1269.091431
257,1183.476563
258,1157.27356
259,1121.68103
260,1598.56311
261,1572.981323
262,1603.401001
263,1596.98645
264,1469.058716
265,1402.379272
266,1272.406616
267,1183.160156
268,761.5953979
269,1482.157104
270,1308.741333
271,1399.633911
272,890.5803833
273,1186.131714
274,1368.381104
275,1366.693237
276,1292.520142
277,1098.769165
278,1106.562622
279,1172.609375
280,1339.955322
281,1547.009155
282,1345.50647
283,1616.851807
284,1574.449341
285,1552.373901
286,1414.455688
287,1099.772461
288,1021.201172
289,1287.205322
290,1176.122314
291,1251.321899
292,1260.060181
293,1216.051758
294,1409.348145
295,1401.849854
296,1009.8078
297,1370.859619
298,1413.328857
299,1359.738403
300,1162.397827
301,1346.696777
302,1335.110718
303,1581.911621
304,1000.821472
305,919.7681885
306,1214.664551
307,1297.52063
308,1187.393433
309,1110.808228
310,815.7788086
311,1034.462036
312,1063.471191
313,1107.572998
314,1651.376221
315,1177.382568
316,1265.120361
317,882.3817139
318,1209.178223
319,1264.283936
320,1371.542725
321,1181.075562
322,1371.262329
323,1514.893677
324,1313.928223
325,1328.362061
326,1281.257324
327,1088.772095
328,1175.492676
329,1244.259644
330,1602.914795
331,1628.7323
332,1553.900879
333,1425.717529
334,1221.077881
335,1367.764038
336,1331.811401
337,1147.053223
338,1173.235474
339,1316.140137
340,1479.099854
341,1337.477539
342,1058.192749
343,1381.576782
344,1470.67041
345,994.4518433
346,1181.814941
347,1137.211914
348,1138.954346
349,1141.578735
350,1263.757568
351,1223.131348
352,806.3613281
353,1930.882813
354,1477.156738
355,1440.643188
356,1583.766235
357,1819.319214
358,1881.374512
359,1866.059814
360,1752.127319
361,1338.708618
362,1146.879761
363,1424.061035
364,1526.484009
365,1514.779419
366,1538.471436
367,1209.185547
368,980.6790161
369,1450.88269
370,1279.757202
371,1293.900635
372,1074.540283
373,1065.384155
374,1033.130615
375,1115.651123
376,973.0754395
377,963.524292
378,1059.691528
379,1744.851318
380,2130.101318
381,2348.904297
382,2412.598877
383,1254.257202
384,1066.404419
385,1541.485596
386,1651.248047
387,1750.252319
388,1660.940186
389,1239.402466
390,1218.754883
391,1343.881714
392,1156.196899
393,970.4813843
394,876.3201904
395,968.6130981
396,1147.974487
397,1010.921814
398,1012.568359
399,1002.051575
400,1355.380859
401,2157.780762
402,1625.785522
403,2934.733154
404,3312.52002
405,356.3257446
406,1319.414429
407,1068.422729
408,1653.622559
409,1642.929199
410,1723.918457
411,1831.259644
412,1474.39624
413,1291.140991
414,1023.793823
415,796.1521606
416,900.0186768
417,942.6998291
418,1727.610962
419,1678.240234
420,1594.52063
421,1882.07251
422,2600.141113
423,3022.522705
424,695.2747192
425,456.2457581
426,1338.718994
427,1435.920166
428,1511.687622
429,1725.437134
430,1704.174561
431,1122.075562
432,867.2172852
433,1195.578247
434,2090.791992
435,2962.137695
436,1225.431274
437,841.2113647
438,1356.30603
439,1758.102417
440,1404.396362
441,1011.565979
442,1329.092651
443,733.5878296
444,1379.247314
445,1666.820679
446,1717.654785
447,955.0021362
448,1256.86792
449,1347.033325
450,2167.768066
451,3222.758057
452,660.0894775
453,1498.049194
454,1892.203491
455,2733.700439
456,1977.438232
457,694.2765503
458,464.8189697
459,1562.543457
460,1720.432617
461,1974.513794
462,2580.837891
463,3117.012451
464,2085.450195
465,2444.023193
466,2194.528076
467,691.6177979
468,627.2886963
469,1569.07312
470,1908.217041
471,1728.325684
472,1329.441284
473,1024.765015
474,1911.249268
475,2143.238037
476,796.8497314
477,1111.592529
478,2117.959229
479,2167.042969
480,3109.762695
481,996.1184082
482,2172.284424
483,2513.603271
484,2252.546387
485,3263.191162
486,2367.070557
487,2186.370361
488,1101.367798
489,2123.849121
490,1482.861572
491,1471.952759
492,1120.584839
493,1440.792236
494,1643.124268
495,1440.74585
496,1607.712769
497,1677.294922
498,1544.80481
499,2069.6521
500,2310.82666
501,1386.506226
502,1383.315552
503,1407.401733
504,2222.831787
